logFC	logCPM	LR	PValue	FDR	geneId
1.094220085	4.201282178	48.42465351	3.43E-12	3.51E-10	AT3G01513
-0.876332863	3.842645188	48.32683765	3.61E-12	3.67E-10	AT3G03280
1.566437879	1.962348886	48.24165156	3.77E-12	3.81E-10	AT1G19840
0.792298474	5.10802422	47.68664477	5.00E-12	5.03E-10	AT2G35000
0.807193491	4.499690581	47.52353749	5.43E-12	5.44E-10	AT2G04100
0.784442545	5.032044712	47.49447849	5.52E-12	5.49E-10	AT3G50900
0.868629454	4.476775073	47.457811	5.62E-12	5.57E-10	AT3G16560
0.783525346	6.227306958	47.18370346	6.46E-12	6.37E-10	AT4G24015
0.860720976	3.849488935	47.11080204	6.71E-12	6.58E-10	AT1G28310
0.87547862	5.89705829	46.96946538	7.21E-12	7.03E-10	AT2G26980
-1.645334396	1.644587174	46.63937885	8.53E-12	8.28E-10	AT3G48920
-1.143029216	4.140675272	46.52256512	9.06E-12	8.74E-10	AT2G43060
-1.875470407	1.479673996	46.31698337	1.01E-11	9.66E-10	AT1G27670
1.028619531	3.130597596	46.30486535	1.01E-11	9.67E-10	AT5G61570
2.522868541	1.788800738	46.29020899	1.02E-11	9.70E-10	AT5G24920
1.920929923	0.906879346	45.9222376	1.23E-11	1.16E-09	AT5G41680
0.747497513	5.675605495	45.45045956	1.57E-11	1.47E-09	AT2G36870
-0.761503581	6.003379212	45.44186342	1.57E-11	1.47E-09	AT4G26080
1.37022877	1.943252474	45.27975607	1.71E-11	1.59E-09	AT4G15690
1.075093759	3.252691526	45.27686943	1.71E-11	1.59E-09	AT3G48390
1.148834117	3.450501647	44.68426746	2.32E-11	2.14E-09	AT5G22930
1.153538898	5.039850331	44.59570002	2.42E-11	2.22E-09	AT4G02850
0.9243917	4.566567695	44.59103432	2.43E-11	2.22E-09	AT1G49510
1.003034022	3.923138875	44.38785076	2.69E-11	2.45E-09	AT4G34750
-1.265402799	2.104221339	44.37252483	2.71E-11	2.46E-09	AT2G15830
-0.922684863	4.095450536	44.06848233	3.17E-11	2.86E-09	AT5G12330
0.847652807	4.246065481	43.89599574	3.46E-11	3.11E-09	AT1G09390
1.701576156	1.485915162	43.87944664	3.49E-11	3.11E-09	AT4G16000
1.362492382	1.935342611	43.87908638	3.49E-11	3.11E-09	AT3G46170
